id,source,target
48,"Zur rechten Zeit kehrte er ganz frech nach Hause zurück, um Jim, dem kleinen, farbigen Bengel, zu helfen, noch vor Tisch das Holz für den nächsten Tag zu sägen und zu spalten -- und schließlich hatte er Jim die Abenteuer des Tages erzählt, während Jim drei Viertel der Arbeit getan hatte.","Hij kwam juist tijdig genoeg tehuis, om Jim, den zwarten loopjongen, te helpen houtzagen en de blokjes voor het avondeten te hakken. Of liever hij kwam bijtijds, om Jim zijne avonturen te vertellen, terwijl deze drie vierden van het werk deed."
49,"Toms jüngerer Bruder (oder vielmehr Halbbruder) Sid war bereits fertig mit seinem Anteil an der Arbeit, dem Zusammenlesen des Holzes, denn er war ein phlegmatischer Junge und hatte keinerlei Abenteuer und kühne Unternehmungen.","Toms jongere broeder (of eigenlijk stiefbroeder) Sid, was al lang klaar met zijn werk van spaanders op te rapen; immers hij was een bedaarde jongen, die volstrekt niet van avonturen en waaghalzerijen hield."
50,"Während Tom nun seine Suppe aß und nach Möglichkeit Zuckerstückchen stahl, stellte Tante Polly allerhand Fragen an ihn, arglistige und verfängliche Fragen, denn sie brannte darauf, ihn in eine Falle zu locken.","Onder het eten deed tante haar neef, die af en toe stilletjes uit den suikerpot nam, allerlei listige, diepzinnige vragen, om hem er in te laten loopen."
51,"Wie so viele gutherzige Geschöpfe, bildete sie sich auf ihr Talent in der höheren Diplomatie nicht wenig ein und betrachtete ihre sehr durchsichtigen Anschläge als wahre Wunder inquisitorischer Verschlagenheit.","Gelijk vele andere eenvoudige lieden, beroemde zij er zich op, dat zij een aangeboren talent bezat voor geheimzinnige diplomatie en beschouwde zij de meest alledaagsche kunstgrepen, waarvan zij gebruik maakte, als wonderen van list en vindingrijkheid."
52,",,Tom,"" sagte sie, ,,es war wohl ziemlich heiß in der Schule?""","""Was 't niet warm op school?"" vroeg zij."
53,",,M -- ja""","""Ja, tante."""
54,",,_Sehr_ heiß, he?""","""Schrikkelijk warm, niet waar?"""
55,",,M -- ja.""","""Ja, tante."""
56,",,Hattest du nicht Lust, zum Schwimmen zu gehen?""","""Had je geen lust om te gaan zwemmen, Tom?"""
57,Tom stutzte -- ein ungemütlicher Verdacht stieg in ihm auf.,Tom begon lont te ruiken en trachtte tantes gelaat uit te vorschen maar het bleef onwrikbaar in dezelfde plooi.
58,"So sagte er: ,,Nein -- das heißt -- nicht so sehr.""","""Neen, tante,"" antwoordde hij, ""niet zoo bijzonder."""
59,"Die alte Dame streckte ihre Hand nach ihm aus, befühlte seinen Kragen und sagte: ,,Jetzt, scheint mir, kann dir jedenfalls nicht mehr zu warm sein, nicht?""","De oude dame strekte de hand uit, om te voelen of Toms overhemd ook nat was, en zeide: ""Je bent nu toch niet zoo bijzonder warm, Tom!"""
60,"Auf diese Art, dachte sie, habe sie sich von der vollkommenen Trockenheit seines Kragens überzeugt, ohne ihre wahre Absicht von fern merken zu lassen.","Zij was verbaasd over haar eigen slimheid; zij had op deze manier ontdekt dat Toms overhemd droog was, zonder dat iemand vermoedde dat het juist dat was, waar zij achter wilde komen."
61,"Aber Tom hatte trotzdem begriffen, woher der Wind wehte. So beeilte er sich wohlweislich, allen etwaigen Fragen zuvorzukommen.","Maar Tom wist al uit welken hoek de wind woei en dacht dat 't beste zou zijn de vraag te voorkomen, die nu volgen zou."
62,",,Einige von uns haben sich den Kopf unter die Pumpe gehalten -- meiner ist noch feucht -- fühl nur.""","""Wij hebben ons hoofd onder de pomp gehouden,"" zeide hij, ""en 't mijne is nog nat. Voel maar?"""
63,"Tante Polly ärgerte sich, eine so wichtige Indizie übersehen zu haben; so hatte sie von vornherein ihre Waffen aus der Hand gegeben.","Tante Polly was boos op zich zelve, omdat zij aan die omstandigheid, welke hem van de schuld had moeten overtuigen, niet gedacht had en dus niet bijdehand genoeg was geweest."
64,Dann kam ihr aber ein neuer Gedanke.,Maar ze kreeg een nieuwe ingeving.
65,",,Tom, du hast doch wohl nicht den Kragen, den ich dir an die Jacke genäht hatte, beim Unter-die-Pumpe-halten des Kopfes abgenommen?","""Tom, je hebt toch het boordje, dat ik aan je hemd heb vastgenaaid, niet behoeven los te maken om je hoofd onder de pomp te houden."
66,"Mach doch mal die Jacke auf!""","Wacht, ontknoop je buis eens."""
67,Toms Mienen hellten sich auf.,Toms gezicht klaarde weer op.
68,Er öffnete seine Jacke.,Hij ontknoopte zijn buis.
69,Sein Kragen saß ganz fest.,Het boordje zat aan het hemd vast.
70,"Na 's ist gut, du kannst gehen.","""Wel, loop dan maar heen."
71,"Ich hätte darauf geschworen, daß du im Wasser gewesen seiest.","Ik dacht zeker, dat je van school waart gaan strijken om te zwemmen."
72,"Nun, dir geht es diesmal wie der gebrannten Katze, ich habe dich zu Unrecht in Verdacht gehabt -- _diesmal_, Tom.""","Doch ik zal je maar vergeven. 't Is met jou toch maar boter aan de galg gesmeerd."""
73,"Sie war halb verdrießlich, so aus dem Felde geschlagen zu sein, und doch freute sie sich, daß Tom doch wirklich mal gehorsam gewesen war.","Zij was half boos, dat hare scherpzinnigheid gefaald had, en half blij, dat Tom toevallig niet ongehoorzaam bleek te zijn."
74,"Plötzlich sagte Sidney: ,,Ich hab' aber doch gesehen, daß du seinen Kragen mit weißem Zwirn genäht hast -- und jetzt ist er auf einmal schwarz!""","Toen zeide Sidney: ""Tante, hebt u het boordje met wit of zwart garen genaaid?"""
75,",,Freilich hab' ich weißen genommen -- Tom!""","""Wel, natuurlijk met wit.--Tom!"""
76,"Aber Tom hatte sich schon aus dem Staube gemacht. ,,Na, warte, Sidney, das sollst du mir büßen,"" damit war er aus der Tür.","Maar Tom wachtte de rest niet af. Eer hij de deur uitvloog, riep hij nog even: ""Je krijgt een pak slaag, Sid, voor het klikken."""
77,"An einem sicheren Plätzchen beschaute Tom dann zwei lange Nadeln, welche unter dem Kragen seines Rockes steckten, die eine mit schwarzem, die andere mit weißem Zwirn.","Zoodra Tom buiten het bereik van zijne tante was, haalde hij twee groote naalden voor den dag, de een met zwart en de andere met wit garen omwonden, die hij aan den binnenkant van zijn buis had gestoken, en zeide:"
78,",,Sie allein hätte es nie gemerkt,"" dachte er, ,,ohne diesen Sid.","""Ze zou het nooit gemerkt hebben als Sid het niet verklapt had. 't Is een drommelsch werk; nu eens naait ze met zwart en dan weder met wit garen."
79,"Einmal schwarzen, das andere Mal weißen -- zum Teufel, ich wollte, sie entschiede sich für einen, damit ich wüßte, woran ich wäre.","Ik wou maar, dat ze zich bij het een of het andere bepaalde; dan wist ik waar ik mij aan te houden had."
80,"Und Sid -- na, seine Prügel sind ihm sicher; wenn ich's nicht tue, soll man mir die Ohren abschneiden.""","Maar Sid zal er voor lusten, of ik heet geen Tom Sawyer meer!"""
81,"Tom war kein Musterknabe, aber er kannte einen und haßte ihn von Herzen.",Tom was niet de modeljongen van het dorp.
82,Ein Augenblick -- und Tom hatte alle seine Kümmernisse vergessen.,In minder dan twee minuten had hij zijn verdriet vergeten.
83,"Nicht, daß sie auf einmal geringer geworden wären oder weniger auf dem Herzen des kleinen Mannes gelastet hätten, -- aber Tom hatte eine neue, wundervolle Beschäftigung, und die richtete ihn auf und half ihm über alles hinweg -- für den Augenblick; wie eben ein Mann alles Mißgeschick beim Gedanken an neue Taten verschmerzt.","Niet omdat hij het minder voelde dan volwassenen, maar omdat iets anders, dat zijne belangstelling geheel innam, het onderdrukte en voor een oogenblik uit zijne ziel verdreef."
84,"Diese neue Beschäftigung war eine ganz neue Art, zu pfeifen, die ihm irgend ein Negerbengel vor kurzem beigebracht hatte, und die jetzt ungestört geübt werden mußte.","Dat andere was het aanleeren van eene nieuwe manier van fluiten, die hij juist van een neger had afgezien en waarin hij zich thans ongestoord kon oefenen."
85,"Die wichtige Erfindung beruhte auf einem vogelartigen, schmetternden Triller, mit gleichzeitigem, durch Zungenschlag hervorgebrachten Geschwindmarsch von Tönen.","Het was een soort van zacht gekweel, dat aan het geluid van een vogel deed denken en voortgebracht werd door bij tusschenpoozen midden onder het fluiten met de tong het verhemelte aan te raken."
86,"Der Leser weiß, wie man diese delikate Musik ausübt -- oder er ist niemals jung gewesen.",De lezer zal zich uit zijne jongensjaren wel herinneren hoe men dat doet.
87,"Tom hatte mit Fleiß und Aufmerksamkeit bald den Trick heraus und schlenderte, den Mund voll Harmonie und Stolz im Herzen, die Dorfstraße hinunter.","Door vlijt en volharding kreeg hij het kunstje spoedig beet en stapte hij door de straten met een mond vol harmonie en een hart zoo vol dankbaarheid als dat van een sterrekundige, die eene nieuwe planeet ontdekt heeft."
88,"Er fühlte sich wie ein Sterngucker, der ein neues Gestirn entdeckt hat. Nur daß keines Sternguckers Freude und Genugtuung so tief und ungetrübt hatte sein können wie die Toms.","Wanneer men het genot van den astronoom had kunnen vergelijken met dat van Tom, zou dat van den knaap het in onvermengdheid gewonnen hebben."
89,Der Sommerabend war lang und noch hell.,Het was midden in den zomer en de avonden waren lang.
90,Plötzlich hörte Tom auf zu pfeifen.,"De duisternis was nog niet ingevallen, toen Tom al fluitende zijn weg vervolgde."
91,"Ein Fremder stand vor ihm, ein Bursche, kaum größer als er selbst.","Een vreemdeling liep voor hem uit, een jongen, een paar duim langer dan hij zelf."
92,"Eine neue Bekanntschaft, einerlei, welchen Alters und Geschlechts, war in dem armseligen, kleinen St. Petersburg schon ein Ereignis.","Een vreemdeling, van welken leeftijd of sekse ook, was eene merkwaardigheid in het kleine plaatsje St. Petersburg."
93,Dieser Bursche war gut gekleidet -- zu gut für einen Werktag.,"Deze jongen was mooi gekleed,--veel te mooi voor een weekdag."
94,Sonderbar.,Dat was al iets vreemds.
95,"Seine Mütze war zierlich, seine enganliegende blaue Jacke neu und sauber, ebenso seine Hose.","Zijn pet was splinternieuw, zijn toegeknoopt blauw buisje dito, zijn broek evenzoo."
96,"Er hatte Schuhe an, und es war erst Freitag!","Hij had schoenen aan, en dat nog wel op Vrijdag!"
97,"Er hatte sogar ein Halstuch um, ein wahres Monstrum von einem Tuch.",Zelfs had hij een mooie zijden das on!
98,"Überhaupt hatte er etwas an sich, was den Naturmenschen in Tom herausforderte.","Hij zag er zoo deftig uit, dat Tom er kippenvel van kreeg."
99,"Je mehr Tom das neue Weltwunder anstarrte, um so mehr rümpfte er die Nase über solche Geziertheit, und sein eigenes Äußere erschien ihm immer schäbiger.","Hij stond dit monster van pracht aan te gapen, doch hoe langer hij zijn neus tegen hem optrok, des te smeriger en te slordiger scheen hem zijn eigen plunje."
100,Beide schwiegen.,Geen van beiden sprak een woord.
101,"Wollte einer ausweichen, so wollte auch der andere ausweichen, natürlich nach derselben Seite.","Als de een zich bewoog, deed de ander hetzelfde."
102,So schauten sie lange einander herausfordernd in die Augen.,"Zij bleven elkander aanstaren, totdat Tom uitriep:"
103,Endlich sagte Tom:,"""Ik kan je wel aan."""
104,",,Soll ich dich prügeln?""","""Probeer het dan eens."""
105,",,Das möchte ich doch erst einmal sehen!""","""Zeker, ik kan wel, als ik maar wil."""
106,",,Das wirst du _allerdings_ sehen!""","""Dat kun je niet."""
107,",,Du kannst es ja gar nicht!""","""Jawel."""
108,",,_Wohl_ kann ich's!""","""Neen."""
109,",,Pah!""","""Ja."""
110,",,_Wohl_ kann ich's!""","""Neen."""
111,"Eine ungemütliche Pause. Darauf wieder Tom: ,,Wie heißt du denn?""","Er volgde eene onheilspellende stilte, waarna Tom zeide: ""Hoe heet je?"""
112,",,Das geht dich nichts an, Straßenjunge!""","""Dat raakt je niet?"""
113,",,Ich will dir schon zeigen, daß mich's was angeht!""","""Ik zal je leeren, dat het me wel raakt."""
114,",,Na, warum _tust_ du's denn nicht?""","""Nu, doe het dan."""
115,",,Wenn du noch viel sagst, _tu_ ich's!""","""Als je nog een woord spreekt, doe ik het."""
116,",,Viel -- viel -- viel, -- so, nun tu's!""","""Nog een woord!"
117,",,Ach, du hältst dich wohl für mehr als mich?","Wat verbeeld jij je wel?"""
118,"Wenn ich nur wollte, könnte ich dich mit einer Hand unterkriegen!""","""Je vindt je eigen nogal mooi, niet waar?"
119,",,Na, warum _tust_ du's denn nicht?","Ik zou je wel met ééne hand op den grond kunnen krijgen, als ik het verkoos."""
120,"Du _sagst_ nur immer, daß du's kannst!""","""Waarom doe je het dan niet. Je zegt altijd, dat je het kunt."""
121,",,Wenn du frech wirst, tu ich's!""","""Als je den gek met me steekt, doe ik het."""
122,",,Pah -- das kann jeder sagen!""","""O! dat heb ik wel honderd jongens hooren zeggen."""
123,",,Du bist wohl was Rechts, du Windhund!""","""Je denkt zeker, dat je een heele Piet bent."""
124,",,Was du für einen dummen Hut aufhast!""","""Wat een vieze pet heb jij op!"""
125,",,Wenn er dir nicht gefällt, kannst du ihn ja herunterschlagen!","""Probeer eens, mij dien pet van het hoofd te nemen."
126,"Schlag ihn doch runter, wenn du ein paar Ohrfeigen haben willst!""","Doe het eens!"""
127,",,Lügner!""","""Je bent een lafaard."""
128,",,Selbst Lügner!""","""En jij ook."""
129,",,Prahlhans, du bist ja zu feig!""","""Je bent een groote lafaard en je durft me niet aan."""
130,",,Ach, mach, daß du weiter kommst!""","""Ga eens verder, als je durft,"""
131,",,Du, wenn du noch lange Blödsinn schwatzt, schmeiß ich dir 'nen Stein an den Kopf!""","""Als je nog meer praatjes maakt, zal ik je een slag op den kop geven."""
132,",,Na, so wag's doch!""","""Wel zeker, zul je dat?"""
133,",,Ich tu's auch!""","""Ja, dat zal ik."""
134,",,Warum tust du's denn nicht?","""Waarom doe je het dan niet?"
135,Du _sagst_ es ja immer nur. Tu's doch mal!,"Waarom zeg je altijd, dat je het doen zult."
136,",,Ich bin nicht bange!""","Is het, omdat je bang bent?"""
137,",,_Natürlich_ bist du bange!""","""Ik ben niet bang."""
138,",,Nicht wahr!""","""Jawel."""
139,",,Doch wahr!""","""Neen."""
140,Wieder eine Pause.,"""Jawel."""
141,"Beide starren sich an, gehen umeinander herum und beschnüffeln sich wie junge Hunde.",Weder eene pauze. De jongens duwen gedurig meer tegen elkander aan.
142,Plötzlich liegen sie in schönster Kampfstellung Schulter an Schulter.,Zij staan al schouder tegen schouder.
143,Tom schrie:,Tom roept:
144,",,Scher dich fort!""","""Ga uit den weg!"""
145,",,Fällt mir gar nicht ein!""","""Ga jij uit den weg."""
146,",,Fällt mir auch nicht ein!""","""Ik doe het niet."""
147,"So standen sie, jeder einen Fuß als Stütze zurückgestellt, aus aller Kraft aneinander herumschiebend und sich wütend anstarrend.","Zoo stonden zij beiden met één voet vooruit, elkander duwende dat het een aard had."
148,Aber keiner konnte dem Gegner einen Vorteil abgewinnen.,Maar geen van beiden kon den ander uit den weg krijgen.
149,"Von diesem stillen Kampf heiß und atemlos, hielten beide gleichzeitig inne, und Tom sagte:","Na tegen elkander aangebonsd en gestooten te hebben, totdat de zweetdroppels hun over het gezicht liepen, weken beiden voorzichtig een weinig achteruit en Tom zeide:"
150,",,Du bist _doch_ ein Feigling und ein Aff obendrein!","""Je bent een lafaard."
151,"Ich werd's meinem großen Bruder sagen, der kann dich mit dem kleinen Finger verhauen, und ich werd's ihm sagen, daß er's tut!""","Ik zal mijn oudsten broer eens op je afsturen; die kan je wel met zijn pink aan en hij zal het doen ook."""
152,",,Was schert mich dein Bruder!","""Wat kan mij je oudste broer schelen!"
153,"Ich hab' einen Bruder, der noch viel stärker ist als deiner. Der wirft deinen Bruder über den Zaun da!""","Ik heb een broer, die nog veel grooter is dan die van jou, en die smijt jou vierkant over de schutting."""
154,Beide Brüder waren natürlich durchaus imaginär.,(De twee broeders bestonden slechts in hunne verbeelding.)
155,",,Das lügst du!""","""Dat is een leugen."""
156,",,Das weißt _du_!""","""Iets is nog geen leugen, omdat jij het blieft te zeggen."""
157,Tom zog mit dem Fuß einen Strich durch den Sand und sagte:,Tom maakte eene streep in het zand met zijn grooten teen en zeide:
158,",,Komm herüber und ich hau dich, daß du liegen bleibst!""","""Stap hier eens over en ik zal je een pak geven, dat je niet meer op je beenen staan kunt."""
159,"Sofort sprang der andere hinüber und sagte herausfordernd: ,,So, nun tu's!""",De nieuwe jongen stapte er dadelijk over en zeide:
160,",,Mach mich nicht wütend, rat ich dir!""","Waarom doe je 't dan niet?"""
161,",,Beim Deuker, für zwei Penny würd' ich's wirklich tun!""","""Sapperloot, ik doe het voor twee centen!"""
162,Im nächsten Augenblick hatte der feine Junge ein Zweipennystück aus der Tasche geholt und hielt es Tom herausfordernd vor die Nase.,De nieuwe jongen haalde twee vuile centen uit zijn zak en bood die Tom met een spottend gezicht aan.
163,Tom schlug es ihm aus der Hand.,Tom smeet de centen op den grond.
164,"Im nächsten Augenblick rollten beide Jungen im Schmutz, ineinander verbissen wie zwei Katzen, und während ein paar Minuten rissen und zerrten sie sich an den Haaren und Kleidern, schlugen und zerkratzten sich die Nasen und bedeckten sich mit Staub und Ruhm.","In een oogenblik rolden en buitelden de jongens in het stof en vochten als leeuwen; een minuut lang rukten en plukten zij elkaar, trokken elkaar bij het haar en de kleeren, stompten en krabden elkander en overdekten zich met modder en lauweren."
165,"Plötzlich klärte sich die Situation, und aus dem Kampfgewühl tauchte Tom empor, auf dem andern reitend und ihn mit den Fäusten traktierend.","Een oogenblik later kwam er orde uit de verwarring en Tom werd uit den damp van het slagveld zichtbaar, op den nieuwen jongen gezeten en een regen van vuistslagen op hem doende nederdalen."
166,",,Sag: Genug!""","""Is het nou genoeg?"" vroeg hij."
167,"Der Bengel setzte seine krampfhaften Bemühungen, sich zu befreien, fort, vor Wut schreiend. ,,Sag: Genug!""",De jongen worstelde om van den grond op te komen.
168,Und Tom prügelte lustig weiter.,Hij schreeuwde meer uit woede dan van pijn.
169,"Schließlich stieß der andere ein halb ersticktes ,,Genug"" hervor. Tom ließ ihn aufstehen und sagte:","Eindelijk ontsnapte den nieuwen jongen een onderdrukt ""genoeg,"" en Tom liet hem opstaan met de woorden:"
170,",,So, nun weißt du's!","""Dat is een goede les voor je, mannetje."
171,"Das nächste Mal sieh dich besser vor, mit wem du anbindest!""","Ik zou je raden een volgenden keer te kijken wien je voor hebt, eer je met iemand den gek steekt."""
172,"Der Fremde trollte sich, sich den Staub von den Kleidern schlagend, schluchzend, sich die Nase reibend, von Zeit zu Zeit sich umsehend, um Tom zu drohen, daß _er ihn_ das nächste Mal verhauen werde, worauf Tom höhnisch lachte und seelenvergnügt nach Hause schlenderte.","De nieuwe jongen stond op, sloeg het stof van zijne kleederen, en liep snikkende weg, terwijl hij gedurig het hoofd omdraaide en Tom dreigde, dat hij hem een ander maal wel te pakken zou krijgen. Tom beantwoordde de dreigementen met schimpscheuten en stapte voort met hooge borst."
173,"Und sobald er den Rücken gewandt hatte, hob der andere einen Stein auf, zielte, traf Tom zwischen die Schultern und rannte davon mit der Geschwindigkeit einer Antilope.","Hij had zijn rug echter nog niet gekeerd of de nieuwe jongen nam een steen op, smeet hem dien achterna, raakte hem daarmede tusschen de schouders en rende toen weg, zoo snel als zijne beenen hem dragen konden."
174,"Tom verfolgte den Verräter bis zu dessen Wohnung und fand so heraus, wo er wohne.",Tom zette den verrader na tot aan zijn huis en ontdekte alzoo waar hij woonde.
175,"Als tapferer Held blieb er dann herausfordernd eine Zeitlang an einem Zaun stehen, um zu warten, ob der Feind es wagen werde, wieder herauszukommen; aber der Feind begnügte sich, ihm durch die Fenster Gesichter zu schneiden und hütete sich, den neutralen Boden zu verlassen.","Een tijdlang bleef hij bij de deur post vatten, den vijand tartende buiten te komen, maar deze hield zich schuil achter het raam, waar hij tegen Tom gezichten stond te trekken."
176,"Schließlich erschien des Feindes Mutter und nannte Tom ein schlechtes, lasterhaftes, gemeines Kind und jagte ihn davon.","Eindelijk kwam de moeder van den vijand voor den dag, die Tom voor een leelijken, gemeenen jongen uitschold en hem gelaste zijn biezen te pakken."
177,"So ging Tom also fort, aber er sagte, ,,er hoffe, den Feind doch noch einmal zu erwischen.""","Toen ging Tom heen en mompelde tusschen zijne tanden, dat de nieuwe jongen geen cent waard was."
