id,translation
40,"{'de': ""Ich begehe vielleicht unrecht und kann es vor mir und ihm nicht verantworten, fürcht' ich."", 'nl': ""Staat er niet geschreven: 'Die de roede spaart, bederft het kind.'""}"
41,"{'de': 'Er steckt voller Narrenspossen und allerhand Unsinn -- aber einerlei!', 'nl': 'Ik vergroot ons beider zonde en lijden.'}"
42,"{'de': 'Er ist meiner toten Schwester Kind, ein armes Kind, und ich habe nicht das Herz, ihn irgendwie am Gängelband zu führen.', 'nl': 'Hij is gansch en al bedorven. Maar, helaas het arme schaap is het eigen kind van mijne zuster zaliger ik kan het niet over mij verkrijgen hem te slaan.'}"
43,"{'de': 'Wenn ich ihn sich selbst überlasse, drückt mich mein Gewissen, und so oft ich ihn schlagen muß, möchte mit das alte Herz brechen.', 'nl': 'Ieder keer, dat ik hem niet straf, klaagt mijn geweten mij aan en ieder keer dat ik hem slaag geef, breekt mij het hart.'}"
44,"{'de': ""Nun, mag's drum sein, der weibgeborene Mensch bleibt halt sein ganzes Leben durch in Zweifel und Irrtum, wie die heilige Schrift sagt, und ich denke, es ist so."", 'nl': 'Wat zal er van hem worden?'}"
45,"{'de': 'Er wird wieder den ganzen Abend Blindekuh spielen, und ich sollte ihn von Rechts wegen, um ihn zu strafen, morgen arbeiten lassen.', 'nl': 'Zoo zal hij voor galg en rad opgroeien?'}"
46,"{'de': 'Es ist wohl hart für ihn, am Samstag stillzusitzen, wenn alle anderen Knaben Feiertag haben, aber er haßt Arbeit mehr als irgend sonst was, und ich will meine Pflicht an ihm tun, oder ich würde das Kind zu Grunde richten.""', 'nl': 'Hij zal van middag zeker weer gaan strijken en dan zal ik, om te straffen, hem morgen moeten laten werken. \'t Is vreeselijk hard om hem op Zaterdag aan den arbeid te zetten, als andere jongens vacantie hebben maar ik moet ten minste mijn plicht doen, of ik zal het kind nog tot bederf worden.""'}"
47,"{'de': 'Tom spielte Blindekuh und fühlte sich sehr wohl dabei.', 'nl': 'Tom bleef uit school en had een prettigen middag.'}"
48,"{'de': 'Zur rechten Zeit kehrte er ganz frech nach Hause zurück, um Jim, dem kleinen, farbigen Bengel, zu helfen, noch vor Tisch das Holz für den nächsten Tag zu sägen und zu spalten -- und schließlich hatte er Jim die Abenteuer des Tages erzählt, während Jim drei Viertel der Arbeit getan hatte.', 'nl': 'Hij kwam juist tijdig genoeg tehuis, om Jim, den zwarten loopjongen, te helpen houtzagen en de blokjes voor het avondeten te hakken. Of liever hij kwam bijtijds, om Jim zijne avonturen te vertellen, terwijl deze drie vierden van het werk deed.'}"
49,"{'de': 'Toms jüngerer Bruder (oder vielmehr Halbbruder) Sid war bereits fertig mit seinem Anteil an der Arbeit, dem Zusammenlesen des Holzes, denn er war ein phlegmatischer Junge und hatte keinerlei Abenteuer und kühne Unternehmungen.', 'nl': 'Toms jongere broeder (of eigenlijk stiefbroeder) Sid, was al lang klaar met zijn werk van spaanders op te rapen; immers hij was een bedaarde jongen, die volstrekt niet van avonturen en waaghalzerijen hield.'}"
50,"{'de': 'Während Tom nun seine Suppe aß und nach Möglichkeit Zuckerstückchen stahl, stellte Tante Polly allerhand Fragen an ihn, arglistige und verfängliche Fragen, denn sie brannte darauf, ihn in eine Falle zu locken.', 'nl': 'Onder het eten deed tante haar neef, die af en toe stilletjes uit den suikerpot nam, allerlei listige, diepzinnige vragen, om hem er in te laten loopen.'}"
51,"{'de': 'Wie so viele gutherzige Geschöpfe, bildete sie sich auf ihr Talent in der höheren Diplomatie nicht wenig ein und betrachtete ihre sehr durchsichtigen Anschläge als wahre Wunder inquisitorischer Verschlagenheit.', 'nl': 'Gelijk vele andere eenvoudige lieden, beroemde zij er zich op, dat zij een aangeboren talent bezat voor geheimzinnige diplomatie en beschouwde zij de meest alledaagsche kunstgrepen, waarvan zij gebruik maakte, als wonderen van list en vindingrijkheid.'}"
52,"{'de': ',,Tom,"" sagte sie, ,,es war wohl ziemlich heiß in der Schule?""', 'nl': '""Was \'t niet warm op school?"" vroeg zij.'}"
53,"{'de': ',,M -- ja""', 'nl': '""Ja, tante.""'}"
54,"{'de': ',,_Sehr_ heiß, he?""', 'nl': '""Schrikkelijk warm, niet waar?""'}"
55,"{'de': ',,M -- ja.""', 'nl': '""Ja, tante.""'}"
56,"{'de': ',,Hattest du nicht Lust, zum Schwimmen zu gehen?""', 'nl': '""Had je geen lust om te gaan zwemmen, Tom?""'}"
57,"{'de': 'Tom stutzte -- ein ungemütlicher Verdacht stieg in ihm auf.', 'nl': 'Tom begon lont te ruiken en trachtte tantes gelaat uit te vorschen maar het bleef onwrikbaar in dezelfde plooi.'}"
58,"{'de': 'So sagte er: ,,Nein -- das heißt -- nicht so sehr.""', 'nl': '""Neen, tante,"" antwoordde hij, ""niet zoo bijzonder.""'}"
59,"{'de': 'Die alte Dame streckte ihre Hand nach ihm aus, befühlte seinen Kragen und sagte: ,,Jetzt, scheint mir, kann dir jedenfalls nicht mehr zu warm sein, nicht?""', 'nl': 'De oude dame strekte de hand uit, om te voelen of Toms overhemd ook nat was, en zeide: ""Je bent nu toch niet zoo bijzonder warm, Tom!""'}"
60,"{'de': 'Auf diese Art, dachte sie, habe sie sich von der vollkommenen Trockenheit seines Kragens überzeugt, ohne ihre wahre Absicht von fern merken zu lassen.', 'nl': 'Zij was verbaasd over haar eigen slimheid; zij had op deze manier ontdekt dat Toms overhemd droog was, zonder dat iemand vermoedde dat het juist dat was, waar zij achter wilde komen.'}"
61,"{'de': 'Aber Tom hatte trotzdem begriffen, woher der Wind wehte. So beeilte er sich wohlweislich, allen etwaigen Fragen zuvorzukommen.', 'nl': ""Maar Tom wist al uit welken hoek de wind woei en dacht dat 't beste zou zijn de vraag te voorkomen, die nu volgen zou.""}"
62,"{'de': ',,Einige von uns haben sich den Kopf unter die Pumpe gehalten -- meiner ist noch feucht -- fühl nur.""', 'nl': '""Wij hebben ons hoofd onder de pomp gehouden,"" zeide hij, ""en \'t mijne is nog nat. Voel maar?""'}"
63,"{'de': 'Tante Polly ärgerte sich, eine so wichtige Indizie übersehen zu haben; so hatte sie von vornherein ihre Waffen aus der Hand gegeben.', 'nl': 'Tante Polly was boos op zich zelve, omdat zij aan die omstandigheid, welke hem van de schuld had moeten overtuigen, niet gedacht had en dus niet bijdehand genoeg was geweest.'}"
64,"{'de': 'Dann kam ihr aber ein neuer Gedanke.', 'nl': 'Maar ze kreeg een nieuwe ingeving.'}"
65,"{'de': ',,Tom, du hast doch wohl nicht den Kragen, den ich dir an die Jacke genäht hatte, beim Unter-die-Pumpe-halten des Kopfes abgenommen?', 'nl': '""Tom, je hebt toch het boordje, dat ik aan je hemd heb vastgenaaid, niet behoeven los te maken om je hoofd onder de pomp te houden.'}"
66,"{'de': 'Mach doch mal die Jacke auf!""', 'nl': 'Wacht, ontknoop je buis eens.""'}"
67,"{'de': 'Toms Mienen hellten sich auf.', 'nl': 'Toms gezicht klaarde weer op.'}"
68,"{'de': 'Er öffnete seine Jacke.', 'nl': 'Hij ontknoopte zijn buis.'}"
69,"{'de': 'Sein Kragen saß ganz fest.', 'nl': 'Het boordje zat aan het hemd vast.'}"
70,"{'de': ""Na 's ist gut, du kannst gehen."", 'nl': '""Wel, loop dan maar heen.'}"
71,"{'de': 'Ich hätte darauf geschworen, daß du im Wasser gewesen seiest.', 'nl': 'Ik dacht zeker, dat je van school waart gaan strijken om te zwemmen.'}"
72,"{'de': 'Nun, dir geht es diesmal wie der gebrannten Katze, ich habe dich zu Unrecht in Verdacht gehabt -- _diesmal_, Tom.""', 'nl': 'Doch ik zal je maar vergeven. \'t Is met jou toch maar boter aan de galg gesmeerd.""'}"
73,"{'de': 'Sie war halb verdrießlich, so aus dem Felde geschlagen zu sein, und doch freute sie sich, daß Tom doch wirklich mal gehorsam gewesen war.', 'nl': 'Zij was half boos, dat hare scherpzinnigheid gefaald had, en half blij, dat Tom toevallig niet ongehoorzaam bleek te zijn.'}"
74,"{'de': 'Plötzlich sagte Sidney: ,,Ich hab\' aber doch gesehen, daß du seinen Kragen mit weißem Zwirn genäht hast -- und jetzt ist er auf einmal schwarz!""', 'nl': 'Toen zeide Sidney: ""Tante, hebt u het boordje met wit of zwart garen genaaid?""'}"
75,"{'de': ',,Freilich hab\' ich weißen genommen -- Tom!""', 'nl': '""Wel, natuurlijk met wit.--Tom!""'}"
76,"{'de': 'Aber Tom hatte sich schon aus dem Staube gemacht. ,,Na, warte, Sidney, das sollst du mir büßen,"" damit war er aus der Tür.', 'nl': 'Maar Tom wachtte de rest niet af. Eer hij de deur uitvloog, riep hij nog even: ""Je krijgt een pak slaag, Sid, voor het klikken.""'}"
77,"{'de': 'An einem sicheren Plätzchen beschaute Tom dann zwei lange Nadeln, welche unter dem Kragen seines Rockes steckten, die eine mit schwarzem, die andere mit weißem Zwirn.', 'nl': 'Zoodra Tom buiten het bereik van zijne tante was, haalde hij twee groote naalden voor den dag, de een met zwart en de andere met wit garen omwonden, die hij aan den binnenkant van zijn buis had gestoken, en zeide:'}"
78,"{'de': ',,Sie allein hätte es nie gemerkt,"" dachte er, ,,ohne diesen Sid.', 'nl': '""Ze zou het nooit gemerkt hebben als Sid het niet verklapt had. \'t Is een drommelsch werk; nu eens naait ze met zwart en dan weder met wit garen.'}"
79,"{'de': 'Einmal schwarzen, das andere Mal weißen -- zum Teufel, ich wollte, sie entschiede sich für einen, damit ich wüßte, woran ich wäre.', 'nl': 'Ik wou maar, dat ze zich bij het een of het andere bepaalde; dan wist ik waar ik mij aan te houden had.'}"
80,"{'de': 'Und Sid -- na, seine Prügel sind ihm sicher; wenn ich\'s nicht tue, soll man mir die Ohren abschneiden.""', 'nl': 'Maar Sid zal er voor lusten, of ik heet geen Tom Sawyer meer!""'}"
81,"{'de': 'Tom war kein Musterknabe, aber er kannte einen und haßte ihn von Herzen.', 'nl': 'Tom was niet de modeljongen van het dorp.'}"
82,"{'de': 'Ein Augenblick -- und Tom hatte alle seine Kümmernisse vergessen.', 'nl': 'In minder dan twee minuten had hij zijn verdriet vergeten.'}"
83,"{'de': 'Nicht, daß sie auf einmal geringer geworden wären oder weniger auf dem Herzen des kleinen Mannes gelastet hätten, -- aber Tom hatte eine neue, wundervolle Beschäftigung, und die richtete ihn auf und half ihm über alles hinweg -- für den Augenblick; wie eben ein Mann alles Mißgeschick beim Gedanken an neue Taten verschmerzt.', 'nl': 'Niet omdat hij het minder voelde dan volwassenen, maar omdat iets anders, dat zijne belangstelling geheel innam, het onderdrukte en voor een oogenblik uit zijne ziel verdreef.'}"
84,"{'de': 'Diese neue Beschäftigung war eine ganz neue Art, zu pfeifen, die ihm irgend ein Negerbengel vor kurzem beigebracht hatte, und die jetzt ungestört geübt werden mußte.', 'nl': 'Dat andere was het aanleeren van eene nieuwe manier van fluiten, die hij juist van een neger had afgezien en waarin hij zich thans ongestoord kon oefenen.'}"
85,"{'de': 'Die wichtige Erfindung beruhte auf einem vogelartigen, schmetternden Triller, mit gleichzeitigem, durch Zungenschlag hervorgebrachten Geschwindmarsch von Tönen.', 'nl': 'Het was een soort van zacht gekweel, dat aan het geluid van een vogel deed denken en voortgebracht werd door bij tusschenpoozen midden onder het fluiten met de tong het verhemelte aan te raken.'}"
86,"{'de': 'Der Leser weiß, wie man diese delikate Musik ausübt -- oder er ist niemals jung gewesen.', 'nl': 'De lezer zal zich uit zijne jongensjaren wel herinneren hoe men dat doet.'}"
87,"{'de': 'Tom hatte mit Fleiß und Aufmerksamkeit bald den Trick heraus und schlenderte, den Mund voll Harmonie und Stolz im Herzen, die Dorfstraße hinunter.', 'nl': 'Door vlijt en volharding kreeg hij het kunstje spoedig beet en stapte hij door de straten met een mond vol harmonie en een hart zoo vol dankbaarheid als dat van een sterrekundige, die eene nieuwe planeet ontdekt heeft.'}"
88,"{'de': 'Er fühlte sich wie ein Sterngucker, der ein neues Gestirn entdeckt hat. Nur daß keines Sternguckers Freude und Genugtuung so tief und ungetrübt hatte sein können wie die Toms.', 'nl': 'Wanneer men het genot van den astronoom had kunnen vergelijken met dat van Tom, zou dat van den knaap het in onvermengdheid gewonnen hebben.'}"
89,"{'de': 'Der Sommerabend war lang und noch hell.', 'nl': 'Het was midden in den zomer en de avonden waren lang.'}"
90,"{'de': 'Plötzlich hörte Tom auf zu pfeifen.', 'nl': 'De duisternis was nog niet ingevallen, toen Tom al fluitende zijn weg vervolgde.'}"
91,"{'de': 'Ein Fremder stand vor ihm, ein Bursche, kaum größer als er selbst.', 'nl': 'Een vreemdeling liep voor hem uit, een jongen, een paar duim langer dan hij zelf.'}"
92,"{'de': 'Eine neue Bekanntschaft, einerlei, welchen Alters und Geschlechts, war in dem armseligen, kleinen St. Petersburg schon ein Ereignis.', 'nl': 'Een vreemdeling, van welken leeftijd of sekse ook, was eene merkwaardigheid in het kleine plaatsje St. Petersburg.'}"
93,"{'de': 'Dieser Bursche war gut gekleidet -- zu gut für einen Werktag.', 'nl': 'Deze jongen was mooi gekleed,--veel te mooi voor een weekdag.'}"
94,"{'de': 'Sonderbar.', 'nl': 'Dat was al iets vreemds.'}"
95,"{'de': 'Seine Mütze war zierlich, seine enganliegende blaue Jacke neu und sauber, ebenso seine Hose.', 'nl': 'Zijn pet was splinternieuw, zijn toegeknoopt blauw buisje dito, zijn broek evenzoo.'}"
96,"{'de': 'Er hatte Schuhe an, und es war erst Freitag!', 'nl': 'Hij had schoenen aan, en dat nog wel op Vrijdag!'}"
97,"{'de': 'Er hatte sogar ein Halstuch um, ein wahres Monstrum von einem Tuch.', 'nl': 'Zelfs had hij een mooie zijden das on!'}"
98,"{'de': 'Überhaupt hatte er etwas an sich, was den Naturmenschen in Tom herausforderte.', 'nl': 'Hij zag er zoo deftig uit, dat Tom er kippenvel van kreeg.'}"
99,"{'de': 'Je mehr Tom das neue Weltwunder anstarrte, um so mehr rümpfte er die Nase über solche Geziertheit, und sein eigenes Äußere erschien ihm immer schäbiger.', 'nl': 'Hij stond dit monster van pracht aan te gapen, doch hoe langer hij zijn neus tegen hem optrok, des te smeriger en te slordiger scheen hem zijn eigen plunje.'}"
100,"{'de': 'Beide schwiegen.', 'nl': 'Geen van beiden sprak een woord.'}"
101,"{'de': 'Wollte einer ausweichen, so wollte auch der andere ausweichen, natürlich nach derselben Seite.', 'nl': 'Als de een zich bewoog, deed de ander hetzelfde.'}"
102,"{'de': 'So schauten sie lange einander herausfordernd in die Augen.', 'nl': 'Zij bleven elkander aanstaren, totdat Tom uitriep:'}"
103,"{'de': 'Endlich sagte Tom:', 'nl': '""Ik kan je wel aan.""'}"
104,"{'de': ',,Soll ich dich prügeln?""', 'nl': '""Probeer het dan eens.""'}"
105,"{'de': ',,Das möchte ich doch erst einmal sehen!""', 'nl': '""Zeker, ik kan wel, als ik maar wil.""'}"
106,"{'de': ',,Das wirst du _allerdings_ sehen!""', 'nl': '""Dat kun je niet.""'}"
107,"{'de': ',,Du kannst es ja gar nicht!""', 'nl': '""Jawel.""'}"
108,"{'de': ',,_Wohl_ kann ich\'s!""', 'nl': '""Neen.""'}"
109,"{'de': ',,Pah!""', 'nl': '""Ja.""'}"
110,"{'de': ',,_Wohl_ kann ich\'s!""', 'nl': '""Neen.""'}"
111,"{'de': 'Eine ungemütliche Pause. Darauf wieder Tom: ,,Wie heißt du denn?""', 'nl': 'Er volgde eene onheilspellende stilte, waarna Tom zeide: ""Hoe heet je?""'}"
112,"{'de': ',,Das geht dich nichts an, Straßenjunge!""', 'nl': '""Dat raakt je niet?""'}"
113,"{'de': ',,Ich will dir schon zeigen, daß mich\'s was angeht!""', 'nl': '""Ik zal je leeren, dat het me wel raakt.""'}"
114,"{'de': ',,Na, warum _tust_ du\'s denn nicht?""', 'nl': '""Nu, doe het dan.""'}"
115,"{'de': ',,Wenn du noch viel sagst, _tu_ ich\'s!""', 'nl': '""Als je nog een woord spreekt, doe ik het.""'}"
116,"{'de': ',,Viel -- viel -- viel, -- so, nun tu\'s!""', 'nl': '""Nog een woord!'}"
117,"{'de': ',,Ach, du hältst dich wohl für mehr als mich?', 'nl': 'Wat verbeeld jij je wel?""'}"
118,"{'de': 'Wenn ich nur wollte, könnte ich dich mit einer Hand unterkriegen!""', 'nl': '""Je vindt je eigen nogal mooi, niet waar?'}"
119,"{'de': "",,Na, warum _tust_ du's denn nicht?"", 'nl': 'Ik zou je wel met ééne hand op den grond kunnen krijgen, als ik het verkoos.""'}"
120,"{'de': 'Du _sagst_ nur immer, daß du\'s kannst!""', 'nl': '""Waarom doe je het dan niet. Je zegt altijd, dat je het kunt.""'}"
121,"{'de': ',,Wenn du frech wirst, tu ich\'s!""', 'nl': '""Als je den gek met me steekt, doe ik het.""'}"
122,"{'de': ',,Pah -- das kann jeder sagen!""', 'nl': '""O! dat heb ik wel honderd jongens hooren zeggen.""'}"
123,"{'de': ',,Du bist wohl was Rechts, du Windhund!""', 'nl': '""Je denkt zeker, dat je een heele Piet bent.""'}"
124,"{'de': ',,Was du für einen dummen Hut aufhast!""', 'nl': '""Wat een vieze pet heb jij op!""'}"
125,"{'de': ',,Wenn er dir nicht gefällt, kannst du ihn ja herunterschlagen!', 'nl': '""Probeer eens, mij dien pet van het hoofd te nemen.'}"
126,"{'de': 'Schlag ihn doch runter, wenn du ein paar Ohrfeigen haben willst!""', 'nl': 'Doe het eens!""'}"
127,"{'de': ',,Lügner!""', 'nl': '""Je bent een lafaard.""'}"
128,"{'de': ',,Selbst Lügner!""', 'nl': '""En jij ook.""'}"
129,"{'de': ',,Prahlhans, du bist ja zu feig!""', 'nl': '""Je bent een groote lafaard en je durft me niet aan.""'}"
130,"{'de': ',,Ach, mach, daß du weiter kommst!""', 'nl': '""Ga eens verder, als je durft,""'}"
131,"{'de': ',,Du, wenn du noch lange Blödsinn schwatzt, schmeiß ich dir \'nen Stein an den Kopf!""', 'nl': '""Als je nog meer praatjes maakt, zal ik je een slag op den kop geven.""'}"
132,"{'de': ',,Na, so wag\'s doch!""', 'nl': '""Wel zeker, zul je dat?""'}"
133,"{'de': ',,Ich tu\'s auch!""', 'nl': '""Ja, dat zal ik.""'}"
134,"{'de': "",,Warum tust du's denn nicht?"", 'nl': '""Waarom doe je het dan niet?'}"
135,"{'de': ""Du _sagst_ es ja immer nur. Tu's doch mal!"", 'nl': 'Waarom zeg je altijd, dat je het doen zult.'}"
136,"{'de': ',,Ich bin nicht bange!""', 'nl': 'Is het, omdat je bang bent?""'}"
137,"{'de': ',,_Natürlich_ bist du bange!""', 'nl': '""Ik ben niet bang.""'}"
138,"{'de': ',,Nicht wahr!""', 'nl': '""Jawel.""'}"
139,"{'de': ',,Doch wahr!""', 'nl': '""Neen.""'}"
140,"{'de': 'Wieder eine Pause.', 'nl': '""Jawel.""'}"
141,"{'de': 'Beide starren sich an, gehen umeinander herum und beschnüffeln sich wie junge Hunde.', 'nl': 'Weder eene pauze. De jongens duwen gedurig meer tegen elkander aan.'}"
142,"{'de': 'Plötzlich liegen sie in schönster Kampfstellung Schulter an Schulter.', 'nl': 'Zij staan al schouder tegen schouder.'}"
143,"{'de': 'Tom schrie:', 'nl': 'Tom roept:'}"
144,"{'de': ',,Scher dich fort!""', 'nl': '""Ga uit den weg!""'}"
145,"{'de': ',,Fällt mir gar nicht ein!""', 'nl': '""Ga jij uit den weg.""'}"
146,"{'de': ',,Fällt mir auch nicht ein!""', 'nl': '""Ik doe het niet.""'}"
147,"{'de': 'So standen sie, jeder einen Fuß als Stütze zurückgestellt, aus aller Kraft aneinander herumschiebend und sich wütend anstarrend.', 'nl': 'Zoo stonden zij beiden met één voet vooruit, elkander duwende dat het een aard had.'}"
148,"{'de': 'Aber keiner konnte dem Gegner einen Vorteil abgewinnen.', 'nl': 'Maar geen van beiden kon den ander uit den weg krijgen.'}"
149,"{'de': 'Von diesem stillen Kampf heiß und atemlos, hielten beide gleichzeitig inne, und Tom sagte:', 'nl': 'Na tegen elkander aangebonsd en gestooten te hebben, totdat de zweetdroppels hun over het gezicht liepen, weken beiden voorzichtig een weinig achteruit en Tom zeide:'}"
150,"{'de': ',,Du bist _doch_ ein Feigling und ein Aff obendrein!', 'nl': '""Je bent een lafaard.'}"
151,"{'de': 'Ich werd\'s meinem großen Bruder sagen, der kann dich mit dem kleinen Finger verhauen, und ich werd\'s ihm sagen, daß er\'s tut!""', 'nl': 'Ik zal mijn oudsten broer eens op je afsturen; die kan je wel met zijn pink aan en hij zal het doen ook.""'}"
152,"{'de': ',,Was schert mich dein Bruder!', 'nl': '""Wat kan mij je oudste broer schelen!'}"
